sku_id,product_name,moq,price_tier,core_features
SKU-PROD-0,"Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish",200,200-800: $72.59 | 1000-1800: $60.49 | >=2000: $48.4,"Free Returns ✓ Free Shipping✓. Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish- Storage Cabinets at SHEIN."
SKU-PROD-1,"1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.",50,50-200: $1.26 | 250-450: $1.05 | >=500: $0.84,"Free Returns ✓ Free Shipping✓. 1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.- Crystal Shapes & Carvings at SHEIN."
SKU-PROD-2,1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear,100,100-400: $1.28 | 500-900: $1.07 | >=1000: $0.86,Free Returns ✓ Free Shipping✓. 1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear- Women Sexy Bodysuits at SHEIN.
SKU-PROD-3,"Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle",50,50-200: $12.78 | 250-450: $10.65 | >=500: $8.52,"Free Returns ✓ Free Shipping✓. Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle- Men Belts at SHEIN."
SKU-PROD-4,Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can,50,50-200: $17.12 | 250-450: $14.27 | >=500: $11.41,Free Returns ✓ Free Shipping✓. Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can- Other Commercial Cleaning Supplies at SHEIN.
SKU-PROD-5,"1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art",50,50-200: $7.32 | 250-450: $6.1 | >=500: $4.88,"Free Returns ✓ Free Shipping✓. 1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art- Teacup & Saucer Sets at SHEIN."
SKU-PROD-6,"Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black",100,100-400: $10.19 | 500-900: $8.49 | >=1000: $6.79,"Free Returns ✓ Free Shipping✓. Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black- Tool Cases at SHEIN."
SKU-PROD-7,"30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties",50,50-200: $1.26 | 250-450: $1.05 | >=500: $0.84,"Free Returns ✓ Free Shipping✓. 30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties- Decorative Balloons at SHEIN."
SKU-PROD-8,"20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season",200,200-800: $0.5 | 1000-1800: $0.41 | >=2000: $0.33,"Free Returns ✓ Free Shipping✓. 20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season- Artificial Plants at SHEIN."
SKU-PROD-9,"10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking",100,100-400: $3.98 | 500-900: $3.31 | >=1000: $2.65,"Free Returns ✓ Free Shipping✓. 10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking- Wrapping & Packaging at SHEIN."
SKU-PROD-10,1PC Retro Resin Telephone Figurine Piggy Bank Vintage Coin Bank Phone Birthday Gift Coffee Shop Decor(17CM*14.5CM*16CM),100,100-400: $12.3 | 500-900: $10.25 | >=1000: $8.2,Free Returns ✓ Free Shipping✓. 1PC Retro Resin Telephone Figurine Piggy Bank Vintage Coin Bank Phone Birthday Gift Coffee Shop Decor(17CM*14.5CM*16CM)- Decorative Crafts at SHEIN.
SKU-PROD-11,30pcs Nail Art Decorations DIY Art Punk Style Mixed Pumpkin/Spider/Bat/Witch/Vampire 3D Three-Dimensional Nail Art Decoration Accessories Jewelry,100,100-400: $1.02 | 500-900: $0.85 | >=1000: $0.68,Free Returns ✓ Free Shipping✓. 30pcs Nail Art Decorations DIY Art Punk Style Mixed Pumpkin/Spider/Bat/Witch/Vampire 3D Three-Dimensional Nail Art Decoration Accessories Jewelry- Rhinestones & Decorations at SHEIN.
SKU-PROD-12,"Juvale Wooden Drawer Organizer With 12 Compartments, Divided Tray For Arts And Crafts Supplies, Stationery, Small Items, 12 Grid Sorting Tray, Dark Brown (13.2 X 9.2 X 1.5 Inches) Halloween Decorations Halloween Costumes Autumn Decor Festival Decor",100,100-400: $10.79 | 500-900: $8.99 | >=1000: $7.2,"Free Returns ✓ Free Shipping✓. Juvale Wooden Drawer Organizer With 12 Compartments, Divided Tray For Arts And Crafts Supplies, Stationery, Small Items, 12 Grid Sorting Tray, Dark Brown (13.2 X 9.2 X 1.5 Inches) Halloween Decorations Halloween Costumes Autumn Decor Festival Decor- Storage Drawers at SHEIN."
SKU-PROD-13,Unbeatablesale K Tool International KTI22521 3/8 Inch Drive Flex Spark Plug Socket 5/8 Inch,100,100-400: $8.1 | 500-900: $6.75 | >=1000: $5.4,Free Returns ✓ Free Shipping✓. Unbeatablesale K Tool International KTI22521 3/8 Inch Drive Flex Spark Plug Socket 5/8 Inch- Sockets at SHEIN.
SKU-PROD-14,"1PC Large Waterproof Makeup Bag With Handle - Travel Toiletry Organizer For Women And Girls - Spacious Cosmetic Storage For Essentials - Perfect Gift, Cruise Essentials Dorm Essentials,Wedding Bridesmaid Gifts,Mom Gifts,Birthday Gifts,Gifts For Friends And Teachers,Home Decor,Bathroom Livingroom Bedroom Decor,Bathroom Organizer,Jewelry Organizer,Lip Oil Organizer,Nail Polish Organizer Makeup Bag Storage Makeup Organizer Makeup Case",50,50-200: $6.72 | 250-450: $5.6 | >=500: $4.48,"Free Returns ✓ Free Shipping✓. 1PC Large Waterproof Makeup Bag With Handle - Travel Toiletry Organizer For Women And Girls - Spacious Cosmetic Storage For Essentials - Perfect Gift, Cruise Essentials Dorm Essentials,Wedding Bridesmaid Gifts,Mom Gifts,Birthday Gifts,Gifts For Friends And Teachers,Home Decor,Bathroom Livingroom Bedroom Decor,Bathroom Organizer,Jewelry Organizer,Lip Oil Organizer,Nai"
SKU-PROD-15,"35pcs Mixed Acrylic Body Piercing Pearl Effect, Transparent Dual Color, Matte Tongue Rings For Women, Everyday And Festival Wear",50,50-200: $2.73 | 250-450: $2.27 | >=500: $1.82,"Free Returns ✓ Free Shipping✓. 35pcs Mixed Acrylic Body Piercing Pearl Effect, Transparent Dual Color, Matte Tongue Rings For Women, Everyday And Festival Wear- Women Tongue Ring at SHEIN."
SKU-PROD-16,Dolce & Gabbana 1.6oz The Only One For Women -  EDP Spray,50,50-200: $40.04 | 250-450: $33.37 | >=500: $26.7,Free Returns ✓ Free Shipping✓. Dolce & Gabbana 1.6oz The Only One For Women -  EDP Spray- Perfume at SHEIN.
SKU-PROD-17,Unbeatablesale 1467 Performer Series Accelerator Pump Assembly,100,100-400: $21.2 | 500-900: $17.66 | >=1000: $14.13,Free Returns ✓ Free Shipping✓. Unbeatablesale 1467 Performer Series Accelerator Pump Assembly- Car Replacement Parts at SHEIN.
SKU-PROD-18,Unbeatablesale Jumbo Insulated Travel Bag,50,50-200: $13.3 | 250-450: $11.08 | >=500: $8.86,Free Returns ✓ Free Shipping✓. Unbeatablesale Jumbo Insulated Travel Bag- Men Tote Bags at SHEIN.
SKU-PROD-19,"Jepeak Jepeak Decorative Linen Throw Pillow Covers Cushion Cases, Pack Of 4 Rustic Woven Textured Pillow Covers For Sofa Bed Couch, 18x18 Inch",200,200-800: $14.52 | 1000-1800: $12.1 | >=2000: $9.68,"Free Returns ✓ Free Shipping✓. Jepeak Jepeak Decorative Linen Throw Pillow Covers Cushion Cases, Pack Of 4 Rustic Woven Textured Pillow Covers For Sofa Bed Couch, 18x18 Inch- Cushion Cover at SHEIN."
SKU-PROD-20,1-Piece Rustic Style Hard  Notebook With Simple Rose Print Design,100,100-400: $2.88 | 500-900: $2.4 | >=1000: $1.92,Free Returns ✓ Free Shipping✓. 1-Piece Rustic Style Hard  Notebook With Simple Rose Print Design- Notebooks at SHEIN.
SKU-PROD-21,"300 Color Professional Oil Colored Pencils Artist Pencils Set Soft Series Lead For Coloring Book Sketching Drawing Art Supplies Quality Soft Core Colored Leads For Adult , Professionals And Colorists | Protected And Organized In Presentation Tin Box",200,200-800: $47.52 | 1000-1800: $39.6 | >=2000: $31.68,"Free Returns ✓ Free Shipping✓. 300 Color Professional Oil Colored Pencils Artist Pencils Set Soft Series Lead For Coloring Book Sketching Drawing Art Supplies Quality Soft Core Colored Leads For Adult , Professionals And Colorists | Protected And Organized In Presentation Tin Box- Colored Pencils at SHEIN."
SKU-PROD-22,"PHNIBIRD Four-Leaf Clover Zirconia Necklace, Women's Necklace, Women's Pendant Necklace, Hypoallergenic Material, Silver, Embedded Zirconia Necklace, Fashionable And Simple, Daily Commute, Daily Wear, Fashion Versatile, Daily Commute, Gift For Sister, Gift For Yourself, Gift For Sister, Birthday Gift, Graduation Gift, Holiday Gift, College Style, Casual Style, Resort Style",100,100-400: $6.12 | 500-900: $5.1 | >=1000: $4.08,"Free Returns ✓ Free Shipping✓. PHNIBIRD Four-Leaf Clover Zirconia Necklace, Women's Necklace, Women's Pendant Necklace, Hypoallergenic Material, Silver, Embedded Zirconia Necklace, Fashionable And Simple, Daily Commute, Daily Wear, Fashion Versatile, Daily Commute, Gift For Sister, Gift For Yourself, Gift For Sister, Birthday Gift, Graduation Gift, Holiday Gift, College Style, Casual Style, Resort"
SKU-PROD-23,360Pcs Hypoallergenic DIY Earring Hooks For Jewelry Earring Making Supplies Kit Gold And Silver Fish Hook Earring Set,200,200-800: $9.59 | 1000-1800: $8.0 | >=2000: $6.4,Free Returns ✓ Free Shipping✓. 360Pcs Hypoallergenic DIY Earring Hooks For Jewelry Earring Making Supplies Kit Gold And Silver Fish Hook Earring Set- Jewelry Making Findings at SHEIN.
