sku_id,product_name,category,moq,price_tier,core_features
REAL-SKU-0,"Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish",Cross-border E-commerce,50,50-200: $72.59 | 250-450: $60.49 | >=500: $48.4,"Free Returns ✓ Free Shipping✓. Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish- Storage Cabinets at SHEIN...."
REAL-SKU-1,"1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.",Cross-border E-commerce,200,200-800: $1.26 | 1000-1800: $1.05 | >=2000: $0.84,"Free Returns ✓ Free Shipping✓. 1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.- Crystal Shapes & Carvings at SHEIN...."
REAL-SKU-2,1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear,Cross-border E-commerce,100,100-400: $1.28 | 500-900: $1.07 | >=1000: $0.86,Free Returns ✓ Free Shipping✓. 1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear- Women Sexy Bodysuits at SHEIN....
REAL-SKU-3,"Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle",Cross-border E-commerce,100,100-400: $12.78 | 500-900: $10.65 | >=1000: $8.52,"Free Returns ✓ Free Shipping✓. Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle- Men Belts at SHEIN...."
REAL-SKU-4,Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can,Cross-border E-commerce,100,100-400: $17.12 | 500-900: $14.27 | >=1000: $11.41,Free Returns ✓ Free Shipping✓. Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can- Other Commercial Cleaning Supplies at SHEIN....
REAL-SKU-5,"1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art",Cross-border E-commerce,100,100-400: $7.32 | 500-900: $6.1 | >=1000: $4.88,"Free Returns ✓ Free Shipping✓. 1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art- Teacup & Saucer Sets at SHEIN...."
REAL-SKU-6,"Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black",Cross-border E-commerce,100,100-400: $10.19 | 500-900: $8.49 | >=1000: $6.79,"Free Returns ✓ Free Shipping✓. Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black- Tool Cases at SHEIN...."
REAL-SKU-7,"30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties",Cross-border E-commerce,100,100-400: $1.26 | 500-900: $1.05 | >=1000: $0.84,"Free Returns ✓ Free Shipping✓. 30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties- Decorative Balloons at SHEIN...."
REAL-SKU-8,"20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season",Cross-border E-commerce,200,200-800: $0.5 | 1000-1800: $0.41 | >=2000: $0.33,"Free Returns ✓ Free Shipping✓. 20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Dec..."
REAL-SKU-9,"10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking",Cross-border E-commerce,100,100-400: $3.98 | 500-900: $3.31 | >=1000: $2.65,"Free Returns ✓ Free Shipping✓. 10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking- Wrapping & Packaging at SHEIN...."
